0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
18.1926,42.9311,71.55,78.35,3.74,44.533,43.512,59.3457,81.134,23.78,306.718,53.72,22.2666,23.305,6.8477,48.6998,31.9413,15.2756,14.0426,24.1,40,35.5741,52.2014,5.9373,28.711,17.7338,31.0142,2.781,3.9385,12.6809,41.6793,34.39,33.1015,18.27,311.289,63.6293,10.058,12.5571,71.1774,55.001,26.9532,16.35,38.634,30.8566,28.5175,53.8997,76.731,20.117,37.174
18.2926,42.5856,71.2,76.5,3.768,43.793,41.402,57.8137,77.374,23.84,303.287,52.88,22.25,23.275,6.7074,48.0248,31.1194,15.1777,13.7218,23.54,39.55,35.8336,50.0443,6.0484,28.3539,17.2306,29.4899,2.7651,3.8826,12.4138,41.9639,26.52,32.1134,18.22,308.683,62.6158,10.026,12,70.3548,53.9771,25.36,16.225,37.998,30.507,28.3023,53.725,74.468,19.93,36.766
18.2801,43.0791,70.1,76.5,3.76,43.933,42.825,58.6248,77.49,24.79,306.442,52.7,22.3333,23.175,6.7684,49.1338,30.9871,15.1777,13.8581,23.66,39.72,35.9751,51.3817,6.1754,28.5267,17.562,30.8448,2.7721,3.864,12.6023,42.5589,28.1,32.6075,18.12,311.013,62.6599,10.297,12.2057,70.9839,53.6699,25.4178,16.245,37.6573,30.2885,28.8941,54.7733,75.032,20.08,36.756
18.1738,42.6843,71.1,77.35,3.646,43.84,39.775,57.318,76.201,24.26,305.738,52,22.1667,22.75,6.7806,48.7963,30.8643,15.256,13.7057,23.25,38.84,35.8572,49.8286,6.096,28.4,17.746,28.4526,2.7775,3.8174,12.5709,42.8435,26.19,32.311,17.88,308.55,61.7345,10.135,11.82,70.1129,53.9771,24.3941,15.92,37.1804,30.201,28.3023,54.4239,74.59,20.347,35.852
17.9738,42.9804,71,73.7,3.6,43.203,37.987,55.7859,73.904,24,301.281,50.5,22.1833,22.4,6.7501,48.2177,30.2124,15.1973,13.2727,22.81,37.6,35.5033,50.7777,6.2389,27.6436,17.8565,27.2353,2.7704,3.8174,12.4845,42.3002,26.05,32.0887,18.01,306.258,62.1311,10.203,11.0914,70.1613,53.5382,23.3127,16,37.1804,30.201,27.9256,53.8124,73.697,19.7,35.156
18.1613,41.278,71.6,73.95,3.596,43.137,38.412,54.9749,71.084,23.6,298.607,50.02,21.95,22.355,6.4696,47.5426,29.8818,14.2768,12.2301,22.22,37.86,35.9515,48.9658,6.0803,27.8471,17.7215,27.8281,2.7597,3.836,12.1152,41.7828,26.06,31.2241,17.93,306.524,61.0736,10.232,10.8685,68.2742,53.9771,23.6511,16.735,36.8851,29.6766,27.7642,52.502,73.168,19.783,34.689
18.3489,41.9441,73.95,74.65,3.62,42.922,41.425,55.2903,72.305,23.89,297.626,50.6,22.2,22.265,6.5306,48.0248,30.4486,14.4727,12.19,23,37.9,36.1403,47.6716,6.0313,27.8701,17.8442,27.7011,2.7633,3.7802,12.2488,42.2226,26.75,31.4464,18.23,308.131,61.382,10.57,10.8857,68.1774,54.2404,23.9153,17.25,37.9753,29.9388,27.4952,52.4147,74.642,19.583,35.832
18.874,42.4376,77,73.8,3.602,42.762,41.25,54.0286,69.252,24.26,294.15,50.69,22.6333,22.365,6.616,47.9284,30.392,14.4629,11.9895,22.48,38.15,37.3905,46.7656,5.9169,27.9738,17.697,25.2771,2.7066,3.7616,12.2959,41.938,26.03,30.8042,18.3,305.544,60.8092,10.458,9.9085,65.9032,54.1965,23.098,16.91,37.0214,30.0699,27.2799,52.8515,74.468,19.517,35.335
18.7552,41.8208,76.4,73.6,3.708,41.217,42.4,53.3526,69.775,25.26,298.607,50.61,22.8667,22,6.4818,48.3141,30.5998,14.3845,11.8612,23.25,38.35,37.2018,45.7733,5.8024,28.5996,17.746,24.5044,2.6659,3.7895,12.2566,41.136,26.43,30.1619,18.37,308.445,61.2498,10.568,9.6171,65.2742,55.8641,23.5686,17.15,36.7488,29.8951,26.7419,52.8515,75.439,19.707,35.365
18.7803,41.6974,77.2,76.3,3.746,40.72,42.642,53.9835,69.339,25.05,301.415,52.1,23,21.87,6.4879,49.0374,31.6485,14.5706,11.9494,23.01,38.62,37.7208,46.3773,5.8024,29.1333,18.6542,26.939,2.6889,3.8267,12.1467,41.3689,26.43,31.8664,18.09,308.398,62.1311,10.784,10.4914,64.3548,55.118,24.9307,17,37.4756,30.0262,27.0109,53.3319,76.289,19.717,34.689
18.7552,42.3142,76,76.45,3.79,40.636,41.4,54.0286,70.366,24.6,295.042,52.38,23,21.8,6.4635,49.6642,31.9319,14.6881,12.1339,22.26,38.34,37.8387,47.2401,5.8842,29.3598,18.2247,26.9072,2.7013,3.8174,12.1231,41.9898,26.18,32.1134,18.18,302.729,63.0124,10.806,10.0285,65.8548,55.9079,25.0545,16.8,37.8163,30.6818,27.3337,53.2009,76.245,20.167,34.987
19.2179,41.8454,75.05,76.5,3.758,40.599,40.438,53.1273,69.562,24.35,295.746,51.54,22.9167,21.905,6.4147,49.3267,30.6754,14.643,11.6687,21.99,37.8,36.3526,46.0322,5.7698,29.045,17.8933,26.4097,2.7225,3.8174,11.746,41.5758,25.64,31.5699,18.35,299.476,61.5142,10.947,10.5171,63.0968,55.6885,23.7254,16.79,36.2265,30.5507,26.7419,53.2009,74.147,19.983,34.987
19.693,41.1793,74.7,73.8,3.702,40.926,40.472,53.8033,67.303,24.2,293.722,52.23,23.1167,21.89,6.4757,49.3749,30.4203,14.5902,11.4602,21.57,38.65,37.1546,44.8673,5.8024,28.9682,17.8442,27.3624,2.6924,3.864,11.7695,41.6793,25.55,31.4711,18.99,297.936,61.8226,10.839,9.8657,62.129,55.9518,24.0556,17,36.2265,30.4633,26.7419,53.5067,74.815,19.983,34.788
19.7743,40.217,77,76.4,3.694,42.266,41.5,54.0736,69.446,25.85,301.459,53.2,23.4,22.675,6.4818,50.3392,30.9588,14.1887,11.7249,21.6,38.8,37.7444,47.6716,5.9169,29.1602,18.4701,27.6164,2.6783,3.8919,11.8717,42.7401,25.5,31.8417,18.75,308.217,61.8667,10.784,10.0285,62.8548,55.7324,24.8564,17.05,36.1129,30.7692,27.1723,54.7296,74.121,20.247,34.878
19.7555,40.8092,77.5,76.25,3.77,43.418,40.977,53.623,70.269,26.92,307.298,54.25,23.6,23.3,6.5245,49.5678,31.7901,14.1006,11.6767,21.75,39.1,38.2398,48.5775,5.9005,29.6439,18.4701,28.0398,2.6836,3.8826,12.0052,43.9043,26.77,32.2616,18.9,313.106,61.6464,10.947,9.9428,66.629,56.259,25.847,16.9,36.4536,31.0315,27.2799,54.5986,73.376,20.647,36.17
19.5055,40.4391,77.35,79.9,3.82,43.784,41.325,53.1724,70.87,27.56,305.292,56,23.7333,23.4,6.7684,50.5321,33.0655,14.1201,12.1579,22.1,39.56,38.0983,50.9072,5.9332,30.6767,18.5806,28.3679,2.6304,3.9571,12.3902,43.3868,27.25,32.1134,18.91,317.528,62.8362,10.947,10.1228,68.9516,56.9612,26.4992,16.875,37.2485,32.2989,27.1185,55.2538,74.252,20.36,36.875
19.568,39.4028,74.25,78.1,3.82,43.193,39.162,53.1724,71.025,27.11,299.596,55.3,23.4833,23.325,6.7074,50.1946,32.801,13.6599,12.0938,22.39,39.55,37.2254,48.4481,5.9986,30.3926,18.2247,27.5741,2.6676,3.8733,12.2566,42.6883,26.6,32.1381,19.49,318.432,62.2192,10.73,10.5428,68.2258,57.0489,26.2103,16.85,37.4075,32.0367,26.9033,55.0354,74.512,20.197,36.617
19.693,39.8963,74,77.45,3.796,42.969,38.75,50.4687,69.155,27,296.423,54.75,23.3167,23.545,6.5123,50.3392,32.99,14.0124,11.8772,22.77,40.04,37.3905,47.0676,5.9986,30.2314,18.4088,27.0448,2.6216,3.8454,11.8795,42.5331,25.75,32.0146,19.41,316.435,62.043,10.947,10.4485,67.5968,57.2684,26.2103,16.495,37.5892,32.2552,26.2038,55.2101,73.853,20.327,35.961
19.568,40.4391,73,78.4,3.73,42.435,37.602,50.8743,65.85,27.07,303.153,54.88,23.4667,23.64,6.4635,50.0982,32.5743,14.0908,11.6687,23,40.22,37.4849,46.7656,6.0149,30.4771,18.2615,25.6158,2.6127,3.836,11.6595,42.7659,24.48,31.5205,19.26,319.126,61.3379,10.752,10.2514,65.5645,57.1367,25.9626,16.59,37.9072,32.8671,26.0424,54.2929,72.596,20.75,35.881
19.5867,39.8963,73.05,75.65,3.7,41.545,35,47.765,62.07,26.1,297.582,53.92,23.6,23.25,6.0428,48.4105,31.2611,14.0614,11.2357,22.73,39.95,36.7772,44.6085,5.8842,29.978,18.3965,25.4782,2.6039,3.7616,11.2745,42.4296,23,30.8289,19.26,322.351,58.606,10.676,9.7543,63.3871,56.6101,24.8481,16.85,38.1343,32.9108,25.881,53.1572,70.697,20.433,35.782
19.543,40.3404,74.5,77.25,3.77,41.385,34.722,51.3699,60.092,26.22,301.013,54.29,23.5833,23.46,6.1586,48.6998,31.7901,14.0222,11.1073,22.46,39.95,36.8008,44.3065,5.9332,29.9473,18.5683,25.8487,2.5366,3.7523,11.3531,41.136,22.1,31.4711,18.74,327.648,58.1653,10.622,9.7714,63.4355,56.1274,24.5592,16.685,37.7936,32.3864,25.9348,53.6814,70.099,20.497,35.374
19.4117,39.2548,72.8,78.2,3.742,41.029,35,50.1082,59.433,26.21,297.537,54.35,23.4333,23.38,6.1769,48.4588,31.365,13.8851,11.1314,21.96,39.75,36.5413,44.0476,5.8106,29.5403,18.3842,26.452,2.5135,3.7802,11.1096,41.5241,21.62,30.8042,19.31,320.715,57.1518,10.568,9.5828,63,56.3907,24.4354,17.25,37.7028,32.4738,25.5043,52.7204,68.92,20.197,35.027
19.5867,38.7366,72.15,79.45,3.686,40.467,35.25,50.1983,58.639,26,290.852,56.49,23.2666,23.35,5.8659,47.4462,30.8927,13.6403,10.8106,21.8,40.25,36.4705,42.9691,5.827,29.0181,18.1633,25.2453,2.5684,3.7429,10.7953,42.1191,20.72,29.1491,19.25,317.814,55.6977,10.351,9.48,60.3871,56.6978,23.7172,17.13,38.1116,32.3427,25.3967,53.5503,67.88,20.533,34.361
19.568,39.1807,72.1,80.8,3.7,40.852,38,51.4601,61.74,26.65,289.248,56.93,22.7333,23.525,5.7928,48.1694,30.392,13.5718,10.5861,21.73,39.8,36.3762,44.0908,5.7861,28.7954,17.9056,26.4732,2.5507,3.6591,10.646,41.7828,22.06,29.7666,18.9,317.481,54.4198,10.513,9.72,61.5968,57.2684,24.716,17.325,37.9299,32.4301,25.2353,53.725,70.177,20.643,34.49
19.6242,39.8223,73,79.6,3.66,41.207,39.5,52.0909,61.837,26.78,286.128,57.5,22.35,23.85,5.9757,48.2177,30.7604,13.5914,10.7064,21.69,39.92,36.5413,43.8319,5.925,28.9106,18.0897,26.5685,2.5702,3.6498,11.1174,42.9211,21.43,30.1619,18.8,317.994,56.2265,10.405,9.6,64.0161,57.4878,24.7986,17,38.2933,32.2552,25.6657,54.2929,71.954,21.233,34.281
19.693,39.4768,72.5,80.15,3.62,41.133,37.912,52.4064,59.123,26.06,288.517,57.11,22.5,23.7,5.9391,48.1212,30.9399,13.5914,10.7144,21.79,39.75,36.5177,43.8319,6.0231,28.6035,17.7951,26.2721,2.6039,3.5847,11.1645,42.8177,20.68,30.0878,18.99,317.395,56.8874,10.286,9.9428,64.3064,57.2684,24.1052,16.9,38.4523,32.0367,25.8271,54.1618,71.347,21.183,34.192
19.8493,39.2301,71,80.85,3.63,41.732,37.087,51.7304,59.773,25.92,286.217,57.18,22.75,23.635,6.0245,47.8801,31.2139,13.1507,10.8347,21.8,39.58,36.1403,42.8483,5.9332,28.8492,18.0651,24.7055,2.673,3.3984,11.1724,42.1709,20.15,29.2479,19,317.196,56.4909,10.188,9.5828,61.9839,57.4,23.6594,16.995,37.6801,32.0367,25.5043,54.2929,70.706,21.483,34.231
19.693,37.3056,69.35,78.05,3.602,41.451,35.737,50.8743,58.251,25.25,278.533,55.92,22.55,23.44,5.8415,46.7711,30.4203,12.7786,10.5299,21.8,38.78,35.409,40.8293,5.9414,28.4883,17.9179,24.7796,2.657,3.3426,10.921,41.4206,20.2,29.2479,18.99,307.875,54.552,10.135,9.3943,60.7258,56.1712,24.1052,17.005,38.2479,31.5996,25.3429,53.9871,69.223,21.33,33.794
19.8806,38.1198,70,80.9,3.61,42.585,39.75,51.9107,59.86,25.45,284.345,56.25,22.7666,23.73,5.9818,47.2533,31.2611,13.1018,10.9871,21.6,38.75,35.6213,42.2788,6.1539,28.6035,18.1633,24.462,2.657,3.4078,11.0781,42.1709,23,28.8526,18.75,306.258,56.2265,10.083,9.4971,59.0323,56.1274,24.7656,17.1,37.2485,30.9877,25.8271,56.1711,70.827,21.5,35.186
19.818,38.712,70,80.8,3.61,42.257,39,51.5502,58.493,25.51,274.094,57.8,22.7333,23.645,5.9696,47.0122,30.7132,13.1605,10.9149,21.4,39.27,35.9987,41.4332,6.0967,28.2656,18.1633,23.4141,2.6322,3.4078,10.8817,42.5589,21.94,29.2479,18.7,301.844,55.0367,9.961,9.5228,57.871,55.9957,24.0721,16.94,37.1804,30.6381,25.9886,54.3802,69.431,21.267,32.85
19.8743,38.9094,70.2,80.3,3.602,42.435,39.997,51.4601,59.026,25.3,281.671,56.75,22.7167,23.515,6.0367,46.9881,30.5714,13.3564,10.9229,21.3,39.2,35.8572,42.2529,6.0476,28.6035,17.7951,23.34,2.657,3.4264,11.0624,41.4465,22.15,29.8902,18.5,309.587,55.3452,9.809,9.3771,61.0645,56.1712,24.8069,16.95,37.2485,31.0315,25.9348,55.8653,69.666,21.243,33.387
19.0678,38.1198,69.25,79.5,3.612,42.182,38.75,50.649,54.81,24.4,280.334,56.2,22.3667,23.205,5.9757,46.7711,29.9952,13.4445,10.8427,21.31,38.92,34.5597,41.416,6.0394,28.5651,17.7951,23.4988,2.6712,3.4171,11.1567,40.7997,22.25,29.2479,18.03,304.783,54.6842,10.134,9.18,61.9355,56.5223,24.7821,16.8,36.7716,30.6818,25.8271,55.1664,67.273,20.55,33.337
18.9053,37.6757,66.55,77,3.6,41.666,38.34,50.2885,55.644,23.92,274.745,55.78,22.0833,22.475,5.744,46.2407,29.2394,13.5228,10.562,21.67,39.57,34.4418,40.6826,5.9169,27.682,17.5742,22.5673,2.6304,3.3612,10.6774,39.7907,22.15,28.0128,17.65,300.456,53.6707,10.562,9.4714,60.1935,55.2497,23.8905,16.475,34.841,30.4196,25.6657,54.686,65.539,20.033,33.496
