ADA-USD,ATOM-USD,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
0.045988999,4.649426937,343.4217834,18.12766647,8745.894531,1.002737999,0.999182999,0.002376,8.945603371,169.6971588,5.591133118,9.50E-05,0.899999022,2.673549891,57.64788055,0.017161001,2.955110073,0.017308,1.000201941,8766.509766,0.062419999,65.96295929,0.237166002
0.045653999,4.652061939,347.2313232,17.79836082,8680.875977,1.003335953,0.995975971,0.002323,9.337963104,168.2941589,5.623733044,9.50E-05,0.894370973,2.645581961,58.35472488,0.017086999,2.925246,0.017353,1.000548959,8656.063477,0.059889,65.03414154,0.236056
0.043334,4.444534779,324.8680115,17.02140427,8406.515625,1.00140202,0.990997016,0.002268,8.463454247,162.9285583,4.126817226,0.000103,0.903976977,2.462109089,54.63026047,0.015941,2.770054102,0.016253,0.999262989,8441.110352,0.059238002,62.53315735,0.226104006
0.045003999,4.484530926,319.5209045,17.04740906,8445.43457,1.003702044,1.00008297,0.002276,8.623167992,163.051178,4.050363064,0.000103,0.914597988,2.504390001,54.53178787,0.016254,2.883611917,0.016411001,1.003334045,8486.290039,0.057303,61.7647934,0.223040998
0.043248001,4.415064812,311.3583374,16.97610664,8367.847656,1.003980041,0.988557994,0.002257,8.433458328,161.2839355,4.247169971,0.000103,0.909601986,2.456526041,53.69778824,0.016066,2.812227964,0.016199,1.001965046,8363.455078,0.056039002,61.52178955,0.220427006
0.044581,4.480583191,346.9978638,17.43863297,8596.830078,1.00166595,1.006592035,0.002305,9.143773079,168.0771027,4.91789484,0.000103,0.897753,2.571582079,56.21271515,0.016457001,2.861274004,0.016804,0.999288976,8657.27832,0.058572002,63.87039566,0.230685994
0.047912002,4.517700195,362.6493225,17.6913414,8909.819336,1.003546,1.017624021,0.002368,10.42493534,170.9308929,5.67327404,0.000119,0.900938988,2.609652042,58.76326752,0.01691,2.948971033,0.017135,1.002594948,8985.176758,0.059645001,65.58409882,0.231222004
0.052857,4.586639881,378.8591309,18.11513519,9358.589844,0.999840021,1.013262033,0.00245,11.53034592,176.3703156,3.745124102,0.000102,0.90368402,2.655339003,60.67181778,0.017255999,3.044621944,0.018614,1.002364039,9432.914063,0.060302999,67.72108459,0.238488004
0.053514,4.412857056,381.5235291,17.91277695,9316.629883,1.004143953,0.99919498,0.00239,12.31981182,175.0503387,4.367314816,0.000102,0.905267,2.785324097,60.07793427,0.017109999,3.13115406,0.018683,1.005344987,9362.487305,0.061739001,70.0408783,0.235730007
0.05607,4.414964199,392.9721375,18.59040833,9508.993164,1.002050042,1.015622973,0.00244,12.27430534,184.6904755,3.749263048,0.000109,0.887037992,2.912987947,68.15906525,0.018645,3.213742018,0.019499,1.003129959,9504.333984,0.061207,74.97740936,0.243642002
0.053792998,4.389513016,375.3895569,18.21097946,9350.529297,1.002902031,1.005588055,0.002394,11.30094624,180.1601715,3.849520922,1.00E-04,0.872485995,2.823791027,67.87949371,0.017928001,3.181544065,0.018681999,1.003651977,9358.923828,0.061554,72.08708954,0.239233002
0.056092001,4.376357079,381.0133667,18.21832085,9392.875,1.001790047,1.011580944,0.002422,11.54169655,183.6739502,4.872459888,8.40E-05,0.871858001,2.838953018,70.82001495,0.018331001,3.256985903,0.019064,1.002387047,9428.838867,0.06047,73.33705902,0.241455004
0.055768002,4.406764984,378.2730103,18.44818497,9344.365234,1.002109051,0.996393025,0.002468,11.38873672,188.6175385,4.912385941,1.00E-04,0.887624025,2.832581043,70.23154449,0.019114999,3.249300003,0.019136,1.000774026,9392.283203,0.063367002,75.03939056,0.250734001
0.056979001,4.260726929,383.8786926,18.4627552,9293.521484,1.00127697,0.99772501,0.00244,11.79246044,189.8650665,3.88172698,9.20E-05,0.883460999,2.774658918,69.78022003,0.022086,3.279825926,0.019218,1.00059402,9293.936523,0.064061001,76.82463837,0.254626989
0.055996001,4.216973782,380.5999756,18.17736626,9180.962891,1.003597975,1.00336504,0.002503,11.43257427,189.2505951,4.576029778,0.000118,0.897503972,2.741121054,68.19577789,0.021128999,3.286473989,0.019261001,1.00217104,9206.294922,0.066290997,75.27223206,0.266808003
